JobTitle,Company,Location,Experience,Degree,Summary,Salary,JobUrl,PostDate,ExtractDate
【Campus Hire - MBA Graduates】Technical Specialist,台灣微軟股份有限公司 (Microsoft),台北市信義區,2年以上,大學,related technical/sales experience is a plus  - Knowledge or experience in developing- being able to use .Net or Python,,https://www.104.com.tw/job/7h95h?jobsource=jolist_a_relevance,12/28,2022-01-11
*QA工程師,誠帷數位科技有限公司,台北市內湖區,2年以上,大學,具，對http協議有較深的理解。4.	兩年以上測試經驗，可以獨立編寫測試用例，完成項目測試工作。5.	熟練使用自動化測試工具，可以獨立編寫接口自動化測試腳本。6.	有較強的問題定位和推動能力，協調資源進行問題解決。7.	有python代碼編,,https://www.104.com.tw/job/7bi2e?jobsource=jolist_a_relevance,1/03,2022-01-11
Data Engineer數據工程師 (Google Cloud Platform),英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,台北市信義區,3年以上,專科,hadoop- 2 年以上Python / Java or Golang軟體開發相關工作經驗- 擅長解決問題、除錯、故障排除，提出問題解決方案。加分條件- 具備BigQuery、RDBMS、NoSQL使用經驗- 具備爬蟲相關經驗- 熟,,https://www.104.com.tw/job/6gj80?jobsource=jolist_a_relevance,1/09,2022-01-11
DevOps工程師(T61),關貿網路股份有限公司,台北市南港區,1年以上,大學,1. OpenStack / Ceph / Kubernetes 設計及維護經驗。2. Java/Python/Go 程式開發。3. 雲端分散式架構 / 開源碼軟體研究、開發、與整合。4. 熟悉 Linux 系統操作。5. 對系統,,https://www.104.com.tw/job/6uvt3?jobsource=jolist_c_relevance,1/05,2022-01-11
"Software Development Engineer (C/C++, Linux) 軟體開發工程師 - Taipei (Req: 4361)",美商Fortinet_英屬蓋曼群島商防特網股份有限公司台灣分公司,台北市內湖區,5年以上,專科,"Perl, Bash, Laravel, PHP, Node.js, Python, etc.)2. Based on DUT (Device Under Test) specifications, analyze test needs and",,https://www.104.com.tw/job/3omui?jobsource=jolist_c_relevance,1/05,2022-01-11
系統工程師,速博康科技股份有限公司,台北市南港區,2年以上,專科,1. 進行軟體管理系統處理，系統的安裝建置。2. 協助 RD 部門，提供相關的系統操作測試(滲透測試)，並撰寫測試程式(python)與技術支援。3. 協助 RD 部門，撰寫流程文件與管理。4. 伺服器及網路設備安裝、設定、管理及維護等。,,https://www.104.com.tw/job/7can2?jobsource=jolist_c_relevance,1/04,2022-01-11
數據暨建模人員/Data Scientist(數據暨整合行銷處),富邦金融控股股份有限公司,台北市大安區,3年以上,大學,"等運用。3 數據建模 : 使用python,R語言，根據命題挑選適當模型方法與參數處理進行多類型建模與冠軍模型挑選。4 視學化應用 : 善用視覺化工具溝通特徵值與模型分析結果、提升協作效率",,https://www.104.com.tw/job/7auol?jobsource=jolist_c_relevance,1/06,2022-01-11
Backend Engineer-PhotoGrid,樂欣國際股份有限公司,台北市中正區,1年以上,大學,1. 設計並開發Restful Mobile APIs 提供全球用戶存取服務2. 最佳化用戶提供照片、影片傳輸、儲存及分享體驗3. 快速反應產品需求、追蹤並分析業務狀態並即時處理,"月薪60,000~80,000元",https://www.104.com.tw/job/7e23h?jobsource=jolist_c_relevance,12/24,2022-01-11
【實習/兼職】軟體測試助理,香港商聲吶天空資訊顧問有限公司台灣分公司,台北市內湖區,經歷不拘,大學,【測試實習生招募中】你知道你的手機，是經過了無數的檢驗與測試才得以誕生的嗎?在你視為理所當然的功能與介面操作裡，蘊含了許多人的心血與努力，而臻於完美的你，是否也蠢蠢欲動想成為這創造奇蹟的一份子?在SONIC SKY的工作日常，不僅能與年輕、多樣化國際團隊合作，專業又有趣的好同事讓你上班也活力充沛，如此融洽的工作氛圍與環境，心動的話就快投出履歷吧！在這份工作，你將會接觸到：(1) 5G整機/功耗機的各場景及電流測試。(2) 與AP/Modem/Protocol的開發工程師緊密合作，協助分析以及驗證問題。(3) 協助5G/4G/3G通訊協議及無線通信協議測試（WiFi/BT/NFC/LBS）。(4) 負責5G終端5G/4G終端產品售後處理。(5) 負責退貨問題分析、問題測試規劃、問題復現及相關售後問題報告撰寫。(6) 負責用戶客訴流程的關鍵問題表，蒐集客戶反饋問題的關鍵信息。(7) 對產品的品質嚴格把關，保證把好的產品發佈給客戶。(8) 第一線接觸前瞻4G/5G通訊技術。,時薪168元以上,https://www.104.com.tw/job/7dym5?jobsource=jolist_c_relevance,12/27,2022-01-11
IT人員(Junior),英屬開曼群島商慷驊股份有限公司台灣分公司,台北市信義區,經歷不拘,大學,". 熟悉Linux作業系統操作與Kernel網路相關參數調校3. 具備Python, Go, Perl, shell scripting至少一種程式開發經驗及有實際開發mobile app經驗半年以上4.工作態度積極、負責，願意主動學習並重視團","月薪50,000元以上",https://www.104.com.tw/job/7homh?jobsource=jolist_c_relevance,1/10,2022-01-11
